score,out
12,1
27,1
274,1
40,1
72,1
0,1
7,1
0,1
51,1
25,1
14,1
47,1
2,1
8,1
15,1
10,1
0,1
24,1
22,0
4,1
48,1
19,1
1,1
1,1
240,1
15,1
18,1
33,1
18,1
2,1
15,1
15,1
11,1
3,1
16,1
85,1
101,1
90,1
58,1
5,1
4,1
0,1
80,1
14,1
9,1
28,1
0,1
176,1
96,1
235,0
34,0
42,1
2,1
40,1
135,1
11,1
59,1
29,1
18,1
40,1
31,0
3,1
50,1
2,1
11,1
5,1
0,1
15,1
8,1
18,0
19,1
2,1
33,1
13,0
1,1
8,1
80,1
0,1
90,1
134,1
40,1
4,1
75,1
8,1
4,1
91,1
126,1
52,1
215,1
186,1
168,1
25,0
13,1
43,1
22,1
49,1
85,1
0,1
30,1
56,1
3,0
46,1
44,1
50,1
61,1
33,1
0,1
8,1
68,1
32,0
82,0
5,1
168,0
26,1
43,1
31,1
2,1
14,1
3,1
6,1
12,1
6,1
0,1
4,1
