score,out
0,1
47,1
12,1
14,1
151,1
0,1
54,1
82,1
70,1
8,1
72,1
131,1
74,1
7,1
86,1
13,1
15,1
0,1
4,1
105,1
3,0
0,1
87,1
27,1
25,1
2,1
6,1
5,1
32,1
4,1
16,1
1,1
0,1
13,1
0,1
76,1
5,1
60,1
4,1
37,1
11,1
13,1
2,1
19,1
25,1
80,1
99,1
11,1
9,1
55,1
63,1
72,1
28,1
50,1
42,1
55,1
28,1
144,1
0,1
48,1
0,1
85,1
15,1
135,1
101,1
28,1
33,1
111,1
20,1
8,1
99,1
17,1
0,1
63,1
54,1
23,1
44,1
25,1
88,1
67,1
80,1
14,1
4,1
8,1
81,1
17,1
21,1
9,1
0,1
4,1
47,1
22,1
113,1
43,1
36,1
95,1
78,1
9,1
185,0
2,1
72,1
34,1
0,1
10,1
33,1
53,0
0,1
17,1
160,1
12,1
64,1
12,1
31,1
43,1
16,1
4,1
13,1
1,1
83,1
30,1
94,0
118,1
2,1
57,0
1,1
77,1
5,1
21,1
41,1
2,1
27,1
8,1
8,1
8,1
2,1
11,1
31,1
2,1
49,1
0,1
1,1
11,1
64,1
15,1
13,1
103,1
43,1
0,1
44,1
41,1
89,1
58,1
98,0
16,1
1,1
0,1
28,1
1,1
35,1
41,1
5,1
0,1
0,1
11,1
48,1
10,1
64,1
0,1
0,1
108,1
3,1
1,1
71,1
35,1
7,1
55,1
136,1
34,1
20,1
19,1
1,1
45,1
1,1
28,1
6,1
83,1
108,1
73,1
20,1
32,1
65,0
125,1
26,1
33,1
44,1
7,1
11,1
21,1
13,1
42,1
5,1
51,1
57,1
4,1
37,1
20,1
0,1
51,1
22,1
8,1
13,1
9,1
