score,out
29,1
0,1
60,0
45,0
11,1
1,1
20,1
105,1
85,1
66,0
162,1
50,1
44,1
19,1
24,1
8,1
24,1
46,1
54,1
6,1
23,1
61,1
1,1
7,1
4,1
115,1
17,1
15,1
15,1
2,0
54,1
24,1
63,1
30,1
58,0
4,1
150,0
153,1
56,0
21,0
36,1
10,1
45,1
9,1
31,1
57,1
7,1
124,1
9,1
63,1
20,1
64,1
12,0
8,1
0,1
2,1
40,1
11,1
123,0
106,0
84,1
3,1
37,1
36,1
7,1
1,1
4,1
66,1
53,0
9,1
78,1
126,1
0,1
38,1
6,1
55,0
8,1
9,1
31,1
9,1
6,1
8,1
32,0
0,1
15,1
26,1
2,1
62,0
89,1
83,1
47,0
32,1
118,1
117,0
66,1
32,1
64,1
5,1
54,1
98,0
100,0
38,1
8,1
98,1
19,1
41,1
60,0
15,1
6,1
17,1
24,1
21,1
18,1
35,1
41,1
69,1
32,1
8,1
196,1
41,0
23,1
8,1
146,0
45,1
2,1
38,1
58,1
1,1
152,0
20,1
11,1
12,1
83,1
49,1
11,1
163,1
71,1
4,1
13,1
140,1
114,0
17,1
6,1
106,1
27,1
46,1
66,0
7,1
23,1
125,1
16,1
70,1
100,0
15,1
34,1
34,1
49,1
9,1
205,1
31,1
43,1
2,1
48,0
88,1
4,1
18,1
113,0
75,1
20,1
4,1
41,1
6,1
26,1
0,1
20,1
75,1
16,0
64,1
6,0
66,1
60,0
35,1
1,1
8,1
80,1
65,0
76,1
51,0
50,1
56,1
24,1
85,1
24,1
62,0
13,1
8,1
27,0
1,1
78,0
9,1
62,1
78,1
20,1
12,1
83,0
17,1
31,1
47,1
34,1
43,1
27,0
29,1
0,1
59,1
5,1
28,1
0,1
5,0
19,1
53,0
0,1
91,0
59,1
20,0
3,1
15,1
13,1
28,1
106,1
78,1
73,1
17,1
110,1
4,1
74,1
19,1
1,1
0,1
0,1
88,1
30,1
0,1
71,1
17,1
31,1
77,1
38,1
2,1
200,0
3,1
48,1
17,1
16,1
60,1
105,1
2,1
49,1
7,1
84,1
4,1
34,1
14,1
45,1
17,1
42,0
