score,out
25,1
0,1
7,1
19,1
103,1
30,0
53,1
100,1
108,1
4,1
22,1
8,1
21,1
49,1
11,1
30,1
22,1
10,1
59,1
6,1
74,1
7,1
23,1
33,1
36,1
137,1
38,1
0,1
15,1
18,1
27,1
0,1
8,1
119,0
114,1
57,1
4,1
8,1
8,1
35,1
9,1
4,1
37,1
7,1
0,1
0,1
16,1
26,1
1,1
1,1
13,1
16,1
1,1
33,1
0,1
0,1
50,1
149,0
26,1
3,1
0,1
118,1
3,1
16,1
7,1
29,1
55,1
66,1
58,1
31,1
52,1
142,1
13,1
67,1
128,1
208,1
2,1
0,1
31,1
69,1
57,1
4,1
12,1
0,1
40,1
15,1
35,1
58,1
27,1
46,1
5,1
32,1
15,1
26,1
38,1
4,1
8,1
61,1
103,1
27,1
138,1
18,1
0,1
70,1
22,1
10,1
64,1
38,1
30,1
81,1
45,1
14,1
6,1
1,1
14,1
54,1
6,1
60,1
12,1
5,1
85,1
38,1
20,1
18,1
12,1
15,1
29,1
2,1
1,1
14,1
21,1
38,1
25,1
10,1
13,1
59,0
138,1
0,1
6,1
29,1
16,1
0,1
48,1
6,1
26,1
24,1
37,1
6,1
34,1
51,0
46,1
0,1
4,1
12,1
31,1
4,0
22,1
15,1
1,1
2,1
6,1
