score,out
60,1
104,0
17,1
2,1
89,1
23,1
34,0
24,1
5,1
105,1
4,1
127,1
23,1
21,1
40,1
83,1
11,1
43,1
27,1
9,1
15,1
116,1
11,1
20,1
20,1
4,1
105,1
65,1
42,1
60,1
106,1
13,1
7,1
36,1
17,1
43,1
23,1
61,1
43,1
0,1
4,1
81,1
62,1
13,1
118,1
38,1
13,1
44,1
60,1
2,1
37,1
61,1
19,1
28,1
6,1
60,1
18,1
60,1
76,1
9,1
39,1
67,1
52,1
9,1
50,1
10,1
4,1
0,1
1,0
52,1
58,1
94,1
139,0
12,1
24,1
35,1
14,0
160,1
10,1
6,1
95,1
32,1
0,1
30,1
30,1
10,1
9,1
15,1
12,1
118,1
65,1
55,1
21,1
1,1
173,1
39,1
21,1
109,0
7,1
23,1
29,1
8,1
12,1
17,1
4,1
6,1
110,1
10,1
67,1
235,0
148,1
32,1
13,1
82,1
189,1
133,1
96,1
106,1
55,1
12,1
1,1
2,1
5,1
294,1
34,1
3,1
5,1
94,1
7,1
1,1
49,1
0,1
14,1
94,1
49,0
26,1
79,1
24,1
43,0
4,1
115,1
0,1
24,1
46,1
7,1
3,1
41,1
176,1
122,1
18,0
190,1
1,1
1,1
13,1
10,1
116,1
17,1
4,1
43,1
32,1
21,1
34,1
130,1
13,1
50,1
12,1
8,1
62,1
0,1
51,1
22,1
25,1
34,1
13,1
65,1
3,1
1,1
72,1
0,1
27,1
51,1
7,1
7,1
17,1
28,1
17,1
16,1
5,1
10,1
22,1
95,1
70,0
17,1
79,1
11,1
13,1
76,1
59,0
105,1
4,1
16,1
162,1
75,1
56,1
20,1
12,1
96,1
11,1
34,1
7,1
43,1
22,1
85,1
263,1
65,1
10,1
49,1
63,1
0,1
7,1
27,1
8,1
18,1
43,1
76,1
5,1
16,1
15,1
47,0
85,1
49,0
81,1
8,1
105,1
76,0
45,1
66,1
35,1
7,1
4,1
12,1
14,1
59,1
21,1
130,1
2,1
54,1
27,1
12,1
46,1
18,1
10,1
49,1
3,1
69,1
3,1
42,1
88,1
7,1
46,1
10,1
243,1
11,1
23,1
10,1
17,1
2,1
7,1
37,1
16,1
7,1
14,1
244,0
39,1
10,1
5,1
2,1
2,1
14,1
70,1
1,1
46,1
13,1
0,1
21,1
29,1
17,1
17,1
12,1
71,1
147,1
