score,out
9,1
2,1
0,1
9,1
0,1
33,1
37,1
1,1
46,1
12,1
34,1
0,1
13,1
100,1
19,1
16,1
26,1
8,1
0,1
19,0
45,1
55,1
33,1
19,1
21,1
45,1
37,1
33,1
84,1
57,1
84,1
3,1
2,1
188,1
14,1
2,1
6,1
1,1
188,1
8,1
0,1
71,1
42,0
19,1
137,1
0,1
23,0
106,1
11,0
28,1
48,0
13,1
3,1
119,1
10,1
104,1
83,1
9,0
27,1
67,1
23,1
137,1
8,1
82,1
79,1
5,1
6,1
36,1
26,1
143,1
174,1
0,1
78,1
9,0
62,1
30,1
24,1
24,1
113,1
59,1
1,1
11,1
25,1
7,1
68,0
20,1
108,0
31,1
10,1
30,1
299,1
36,1
20,1
48,1
45,1
56,1
30,1
13,0
42,1
6,1
140,1
61,1
19,1
11,1
0,1
107,1
15,1
14,1
98,1
3,1
31,1
25,1
42,1
31,0
16,1
28,1
142,1
9,1
70,1
115,1
83,1
0,1
18,1
10,1
18,1
5,1
16,1
14,1
11,1
24,1
15,1
