score,out
16,1
3,1
33,1
21,1
2,1
75,1
8,1
29,0
122,1
2,1
8,1
13,1
105,1
11,1
5,1
37,1
1,0
16,1
25,1
26,1
33,1
6,1
21,1
8,1
6,1
7,1
3,1
18,1
167,1
75,1
72,1
5,1
7,1
267,1
1,1
6,1
96,1
123,1
42,1
18,1
31,1
19,1
12,1
38,1
6,1
37,1
85,1
58,1
62,1
3,1
80,1
7,1
1,1
22,1
93,1
148,1
2,1
27,1
68,1
34,1
24,1
82,1
53,1
15,0
13,1
11,1
17,1
8,1
7,1
14,1
127,1
5,1
7,1
5,1
19,1
0,1
27,1
25,1
41,0
0,1
62,1
18,1
13,1
0,1
105,1
0,1
8,1
10,1
20,1
18,1
28,1
19,1
3,1
35,1
16,1
3,1
0,1
1,1
5,1
23,1
168,1
138,0
103,0
0,1
47,1
35,1
78,1
126,1
146,1
120,1
33,1
110,0
66,1
18,1
75,1
4,0
27,1
143,0
77,1
37,1
1,1
41,1
37,1
71,1
10,1
4,1
3,1
152,1
23,1
72,1
6,1
78,1
31,0
64,1
19,0
112,1
21,1
33,1
31,1
30,1
21,1
4,1
11,1
0,1
2,1
41,1
5,1
22,1
106,1
29,1
1,1
38,1
23,1
88,1
10,1
47,1
18,1
40,1
206,1
