score,out
28,1
14,1
14,1
52,0
21,1
10,1
19,1
3,1
92,1
109,1
98,1
47,1
41,1
20,1
33,1
62,1
178,1
114,1
12,1
68,1
12,1
61,1
8,1
2,1
1,1
8,1
7,1
50,1
46,1
12,1
4,1
27,1
97,1
13,1
2,1
5,1
65,1
24,1
95,1
33,1
6,1
17,1
9,1
47,1
1,1
22,1
4,1
12,1
2,1
15,1
11,1
4,0
77,1
1,1
45,1
8,0
33,1
33,1
59,1
60,1
2,1
23,1
103,0
46,1
19,0
1,1
44,1
11,1
217,0
25,1
7,1
42,1
174,1
5,1
27,1
39,1
97,1
3,1
0,1
63,1
106,0
7,1
11,1
56,1
104,0
3,1
3,1
84,1
163,1
32,1
64,1
50,1
2,1
36,1
34,1
58,1
53,1
12,1
3,1
68,1
19,0
135,0
31,0
73,1
4,0
5,1
278,0
25,1
129,1
0,1
33,1
26,1
13,1
8,1
64,1
73,1
99,1
25,1
69,1
160,0
0,1
29,1
83,1
38,1
68,1
47,1
44,1
27,1
43,1
40,1
29,0
1,1
33,1
4,1
169,1
67,1
51,1
31,1
103,0
61,1
36,1
121,1
19,1
90,1
164,1
13,1
103,1
74,1
91,1
48,1
116,1
29,1
14,1
43,1
21,1
51,1
37,1
12,1
7,1
152,1
10,1
148,1
63,1
16,1
85,1
0,1
9,1
42,1
43,1
49,1
37,1
88,1
36,1
0,1
0,1
0,1
53,1
65,1
35,1
20,1
80,1
5,1
6,1
71,0
0,1
126,0
28,1
64,1
63,1
69,1
6,1
