score,out
95,1
84,1
8,1
40,1
24,1
34,1
31,1
23,1
7,1
56,1
7,1
27,0
2,1
12,1
148,1
81,1
43,1
51,0
57,1
78,1
2,1
37,0
92,1
69,1
2,1
6,1
34,1
92,1
93,1
85,1
52,1
56,1
86,1
23,1
6,1
118,1
44,1
0,1
28,1
190,1
103,0
53,1
10,1
33,1
29,1
24,1
13,1
107,1
1,1
144,1
48,1
1,1
33,1
12,1
35,1
6,1
9,1
14,1
29,1
0,1
22,1
37,1
17,1
18,1
28,1
41,0
200,0
70,0
162,1
9,1
39,1
25,1
180,1
81,1
4,1
44,1
68,0
26,1
12,1
61,0
15,1
75,1
36,1
36,1
2,1
11,1
2,1
87,1
86,1
7,1
26,0
3,1
65,1
1,1
6,1
144,0
67,1
36,1
17,1
14,1
91,1
5,1
30,1
46,1
63,1
13,1
115,1
148,1
217,1
100,0
11,1
6,0
14,1
17,1
76,1
7,1
9,1
39,1
222,1
73,1
13,1
5,1
1,1
43,0
233,1
72,0
49,1
92,1
38,1
91,0
6,1
33,1
0,1
270,1
0,1
60,1
26,1
21,1
2,1
31,0
27,1
54,1
80,1
47,0
0,1
160,1
50,1
110,1
135,1
22,1
16,1
77,1
98,1
0,1
23,1
32,1
24,1
53,1
128,0
103,1
5,0
3,1
2,1
40,1
71,1
95,1
42,0
52,1
9,1
49,1
62,1
146,1
22,1
68,0
81,1
68,1
32,1
1,1
11,1
5,1
29,1
47,1
61,1
2,1
129,1
2,1
9,1
37,1
11,0
55,1
12,1
38,1
34,1
50,1
8,0
19,1
42,1
5,1
16,1
53,1
38,1
93,1
3,1
18,1
11,0
111,1
3,1
17,1
29,1
18,0
14,1
10,1
2,1
44,1
10,1
68,1
51,1
5,1
39,1
11,1
11,1
0,1
3,1
3,1
4,1
136,1
0,1
66,1
8,0
83,1
62,1
35,1
60,1
177,1
38,1
144,1
74,1
4,1
24,1
111,0
18,1
44,1
3,1
23,1
7,1
77,1
13,1
1,1
21,0
104,1
1,1
45,1
191,1
14,1
43,1
25,1
2,1
5,1
31,1
40,1
112,1
5,1
55,1
5,1
34,0
103,0
36,1
117,1
6,1
22,1
18,1
146,0
13,1
54,1
31,1
119,1
82,1
33,1
68,1
10,1
5,1
29,1
9,1
47,1
1,1
25,1
