score,out
16,1
92,1
54,1
11,1
41,1
39,1
14,1
11,1
48,1
15,1
4,1
31,1
79,1
53,1
56,1
47,1
30,1
17,1
27,1
35,1
0,1
66,1
16,1
41,1
25,1
0,1
49,1
21,1
84,1
3,1
1,1
22,1
39,1
56,0
19,1
92,0
67,1
4,1
129,1
9,1
1,1
0,1
62,1
11,1
51,1
2,1
59,1
52,1
27,1
27,1
75,1
91,1
0,1
10,1
4,1
0,1
0,1
36,1
19,1
78,1
174,0
14,1
10,1
78,1
3,1
42,1
17,1
0,1
18,1
27,1
25,1
1,1
5,0
38,1
66,0
4,1
43,1
73,1
2,1
31,1
48,1
64,0
66,1
67,1
21,1
8,1
16,1
60,1
30,1
2,1
11,1
12,1
9,1
57,1
99,1
14,1
8,1
14,1
22,1
55,1
86,1
5,1
32,1
51,0
0,1
57,1
71,1
105,1
4,1
4,1
61,1
12,1
48,1
3,1
11,1
1,1
1,1
2,1
66,1
130,1
34,1
6,1
5,1
25,1
21,1
32,1
274,0
69,0
0,1
33,1
1,1
8,1
30,1
192,1
0,1
0,1
24,1
27,1
4,1
31,0
30,1
9,1
34,1
4,1
97,1
11,1
117,1
45,1
29,1
202,1
0,1
11,1
83,1
3,1
18,1
17,1
0,1
1,1
65,1
3,1
16,1
41,1
88,1
73,1
65,1
14,1
33,1
97,1
0,1
6,1
262,1
46,1
37,1
48,1
0,1
0,1
27,1
40,1
17,1
43,1
54,1
14,1
87,1
41,1
66,1
34,1
31,1
59,1
66,1
