score,out
65,1
67,0
116,1
64,0
1,1
117,0
124,1
220,1
4,1
53,1
57,1
24,1
6,1
0,1
12,1
8,1
18,1
2,1
20,1
0,0
69,1
24,1
4,1
67,1
101,1
58,1
49,1
5,1
0,1
4,1
14,1
0,1
86,1
8,1
116,1
35,0
22,1
71,1
22,1
37,1
1,1
156,1
26,1
102,1
66,1
2,1
119,1
14,1
66,1
15,1
2,1
43,1
38,1
71,1
0,1
18,1
39,1
24,1
4,1
50,1
108,1
42,1
3,1
113,1
4,1
127,1
0,1
118,1
49,1
7,1
29,1
89,1
8,0
5,1
97,1
111,1
137,1
205,1
73,1
0,1
107,1
182,0
4,1
1,1
120,1
40,1
61,1
68,1
42,1
59,1
78,1
13,1
221,1
50,1
10,1
76,1
12,1
115,1
14,1
25,1
123,1
88,1
31,1
21,1
4,1
48,1
2,1
81,1
166,1
29,0
44,1
15,1
49,1
24,1
0,1
10,1
23,1
5,1
10,1
70,1
23,1
12,1
53,1
5,1
33,1
55,1
14,1
172,1
46,1
42,1
83,0
25,1
11,1
52,1
48,1
24,1
2,1
155,1
4,0
83,1
8,1
42,1
12,1
127,0
17,1
60,1
13,1
5,1
67,1
20,1
0,1
1,1
32,1
147,0
2,1
19,1
18,1
1,1
42,1
103,0
5,1
50,1
64,1
0,1
7,1
121,1
15,1
90,1
1,1
12,1
3,1
0,1
20,1
236,0
48,1
37,1
35,1
27,1
5,1
1,1
65,1
13,1
17,1
3,1
9,1
51,1
0,1
52,1
19,1
49,1
15,0
166,0
6,1
8,1
172,1
34,1
22,1
35,1
1,1
29,1
54,1
8,1
90,1
4,1
103,1
176,1
74,1
5,1
91,1
0,1
24,1
63,1
21,1
96,1
