score,out
33,1
0,1
13,1
13,1
0,1
81,1
44,1
10,1
23,1
40,1
48,1
11,1
12,1
25,1
32,1
175,1
6,1
52,0
9,1
1,1
44,1
0,1
0,1
0,1
68,1
66,1
6,1
4,1
12,1
13,1
52,1
14,1
0,0
32,1
68,1
15,1
3,1
73,1
204,1
7,1
42,1
23,1
0,1
88,1
51,1
38,1
37,1
71,1
56,1
0,1
19,1
27,1
31,1
0,1
14,1
13,1
47,1
0,1
8,1
26,1
116,1
32,1
77,1
107,1
5,1
9,1
62,1
16,1
6,1
15,1
69,1
141,1
66,0
14,1
66,1
81,1
7,1
82,1
5,1
42,1
12,1
105,1
6,1
1,1
0,1
5,1
317,1
4,1
50,1
33,1
15,1
10,1
33,1
56,1
4,1
25,1
82,1
30,1
68,1
30,1
72,1
69,1
46,1
2,1
83,1
3,1
0,1
0,1
34,1
11,1
93,1
40,1
2,1
30,1
47,0
11,1
13,1
23,1
16,1
28,1
52,1
66,1
29,1
46,1
38,1
0,1
51,0
45,1
10,1
14,1
26,1
74,1
34,1
197,1
104,1
30,1
46,1
6,1
102,1
4,1
28,1
0,1
19,1
54,1
31,1
1,1
26,1
165,0
102,1
21,1
6,1
73,1
50,1
20,1
10,1
333,1
30,1
3,1
0,1
150,1
64,0
8,1
8,1
24,1
19,1
25,1
20,0
40,1
4,0
101,1
18,1
33,1
11,1
35,1
64,1
10,1
1,1
80,0
42,1
11,1
64,1
9,0
