score,out
0,1
0,1
6,1
31,1
54,1
20,1
0,1
91,0
55,1
2,1
42,0
2,1
2,1
1,1
43,1
25,1
40,1
18,1
22,1
1,1
18,1
74,1
83,1
10,1
4,1
79,1
31,1
18,1
4,1
99,1
51,1
8,1
49,0
17,1
27,1
123,1
47,1
2,1
26,1
83,1
0,1
14,1
55,1
8,1
16,1
41,1
5,1
26,1
116,1
33,1
83,1
153,1
3,1
10,1
6,1
44,1
20,1
2,1
0,1
21,1
21,1
10,1
5,1
2,1
1,1
58,1
40,1
71,1
20,0
47,1
63,1
127,1
58,1
22,1
31,1
5,1
28,1
30,1
17,1
70,1
48,1
74,1
19,1
196,1
51,1
0,1
2,1
43,1
53,1
11,1
14,1
0,1
51,1
51,1
114,1
8,1
8,1
5,1
0,1
40,1
18,1
183,1
18,1
17,1
32,1
12,1
15,1
28,1
65,1
12,1
93,1
73,1
146,1
44,1
16,1
27,1
1,1
9,1
50,1
9,1
84,1
75,1
36,1
13,1
68,1
60,1
0,1
8,1
11,1
13,1
0,1
10,1
18,1
8,1
84,1
18,0
0,1
85,1
37,1
154,1
30,1
333,1
123,1
116,1
7,1
85,1
88,1
20,1
58,1
59,1
54,1
87,1
117,1
13,1
18,1
34,1
154,0
37,1
68,1
13,1
45,1
40,1
60,1
29,1
38,1
174,1
2,1
4,1
114,1
30,1
11,1
8,1
69,1
13,1
78,1
135,1
37,1
20,1
24,1
17,1
18,1
4,1
8,1
65,1
133,1
12,1
29,1
38,1
120,1
59,1
26,1
8,1
48,1
56,1
79,1
210,1
13,1
0,1
0,1
20,1
28,1
23,1
27,1
8,1
33,1
20,1
56,1
15,1
2,1
1,1
29,1
47,1
34,1
37,1
4,1
