score,out
93,1
107,1
31,1
20,1
3,1
14,1
17,1
32,1
54,1
0,1
0,1
3,1
8,1
22,1
23,1
84,1
22,1
134,1
101,1
115,1
6,1
0,1
85,0
47,1
2,1
5,1
70,1
91,1
96,1
32,1
11,1
100,1
82,1
43,1
8,1
80,0
34,1
0,1
48,1
9,0
6,1
76,1
2,1
3,1
91,1
97,1
7,1
74,1
53,1
6,1
25,1
0,1
6,1
34,1
84,1
14,1
0,1
63,1
62,1
66,1
8,1
8,1
52,1
70,1
42,1
0,1
70,1
57,1
0,0
154,0
194,1
33,1
72,0
7,1
3,1
13,1
4,1
25,1
34,1
26,0
16,1
120,0
24,1
64,1
10,0
0,1
127,1
32,0
19,1
1,1
214,0
10,1
49,1
223,1
22,1
34,1
30,1
44,1
95,1
4,1
10,1
1,1
18,1
12,1
100,1
10,1
69,1
2,1
4,0
46,1
33,0
58,1
37,1
45,1
21,1
42,1
14,1
10,1
12,1
75,1
27,1
8,1
78,1
25,1
213,1
10,0
2,1
16,1
0,1
33,1
15,1
2,1
141,1
69,1
17,1
43,1
1,1
29,1
10,1
35,1
25,1
22,1
103,1
45,1
10,1
77,1
80,1
16,1
40,1
0,1
49,1
36,0
56,1
4,1
12,1
104,1
82,1
117,1
6,1
21,1
5,1
0,1
12,1
32,1
36,1
5,1
42,1
41,1
3,1
149,1
3,1
11,1
12,1
10,1
21,1
1,1
27,1
35,1
2,1
5,0
12,1
10,1
226,1
6,1
43,1
