score,out
15,1
5,1
5,1
0,1
125,1
0,1
47,1
40,1
0,1
14,1
10,1
0,1
2,1
37,1
44,1
69,1
58,1
14,1
13,1
30,1
3,1
5,1
119,1
28,0
97,1
67,1
203,1
35,1
35,1
0,1
6,0
33,1
42,1
15,1
35,1
68,1
136,1
13,1
91,1
0,1
57,1
31,1
131,1
138,1
3,0
105,1
21,0
122,1
63,1
96,1
28,1
0,1
4,1
34,1
119,1
89,1
197,1
103,1
46,1
30,1
102,1
1,1
15,1
2,1
10,1
19,1
30,1
100,0
27,1
2,0
14,1
177,1
11,1
50,1
380,1
20,1
101,0
37,1
99,1
12,1
17,1
136,1
53,0
67,1
30,1
41,1
130,1
54,1
5,1
25,1
28,1
37,1
2,1
117,1
132,1
26,1
30,1
58,1
39,1
23,1
9,1
35,1
24,1
8,1
70,1
54,1
4,1
10,1
9,1
56,0
26,1
23,0
35,1
15,1
61,1
38,1
9,1
12,1
34,1
0,1
31,1
34,1
36,1
7,1
26,1
138,1
0,0
111,1
77,1
37,1
118,1
110,1
46,1
47,1
87,0
0,1
20,1
65,1
137,1
4,1
90,1
94,1
32,1
0,1
102,1
3,1
0,1
6,1
72,1
29,1
21,1
37,1
12,1
18,1
24,1
92,1
153,1
33,1
23,0
43,1
17,1
33,1
124,1
47,1
13,1
123,1
103,1
0,1
13,1
0,1
29,1
83,1
16,0
16,1
77,1
8,1
0,1
24,1
12,1
4,1
8,1
23,1
31,1
39,1
