score,out
61,1
66,1
55,1
42,1
4,1
29,1
9,0
28,1
27,1
55,1
105,1
0,1
122,1
9,1
48,1
12,1
62,1
184,1
1,1
7,1
42,1
40,1
15,1
12,1
1,1
5,1
31,1
96,1
25,1
25,1
4,1
84,1
1,1
28,1
15,1
51,1
26,1
4,1
25,1
34,1
0,1
46,1
92,1
0,0
136,1
6,1
12,1
17,1
9,1
1,1
55,1
24,1
5,1
23,1
24,1
60,1
103,0
53,1
145,1
11,0
21,1
60,1
15,0
8,1
12,1
17,1
18,1
43,1
2,1
10,1
125,1
56,1
21,1
7,1
0,1
50,1
13,1
63,1
34,1
3,1
0,1
78,1
90,1
9,1
62,1
5,0
76,1
24,0
32,1
4,0
67,1
39,0
84,1
25,1
17,0
131,1
70,1
40,1
0,1
18,1
3,1
88,0
121,1
13,1
1,1
6,0
0,1
19,1
45,1
27,1
58,1
0,0
5,1
47,1
13,1
6,1
1,1
5,1
17,1
0,1
48,1
4,1
60,1
12,1
5,1
54,1
25,0
2,1
77,0
40,1
30,0
11,1
100,1
17,1
23,1
75,1
143,1
83,1
15,1
20,1
27,1
112,0
65,1
6,1
15,1
35,1
36,1
14,1
0,1
45,1
0,1
109,1
167,1
117,1
47,1
19,1
0,1
3,1
12,1
8,1
84,1
111,1
23,0
1,1
28,1
40,1
84,1
33,1
7,1
19,1
60,1
4,0
18,1
57,0
32,1
8,1
75,0
43,1
58,1
23,1
8,1
1,1
7,1
5,1
22,1
45,1
11,1
24,1
31,1
143,0
125,1
16,0
23,1
64,0
20,1
4,1
43,0
63,1
38,1
19,1
35,1
15,1
