score,out
8,0
0,1
8,1
26,1
5,1
19,1
23,1
75,1
10,1
6,1
7,1
26,1
123,1
21,1
57,0
38,1
14,1
33,1
43,1
20,0
135,0
5,1
20,1
81,1
7,0
100,0
9,1
58,0
14,1
0,1
66,1
3,1
19,1
95,1
71,1
65,1
47,1
101,1
83,1
95,1
50,1
26,1
21,1
0,1
5,1
62,1
27,1
40,1
39,1
59,1
0,1
82,1
148,1
70,1
2,1
65,1
35,1
0,1
14,1
1,1
12,1
43,1
54,0
8,1
56,1
96,1
5,1
92,0
177,1
4,1
0,1
6,1
4,1
24,1
12,1
13,1
10,1
14,1
0,1
97,1
9,1
21,0
19,1
2,1
10,1
51,1
26,1
6,1
0,1
4,1
200,0
88,1
12,1
12,1
118,1
22,1
8,1
44,1
20,1
58,0
9,1
86,1
138,1
135,1
8,1
29,1
55,1
68,1
12,1
13,1
112,1
63,1
0,1
71,1
142,1
27,1
130,1
5,1
20,1
13,1
20,1
114,1
85,1
105,0
43,1
30,1
10,1
48,1
36,1
6,1
29,1
99,1
329,1
39,1
112,1
11,1
18,1
13,1
32,1
60,1
0,1
35,0
43,1
10,1
138,0
23,1
60,1
51,1
34,1
72,0
77,1
0,1
118,1
15,1
9,1
32,1
3,1
117,1
1,1
0,1
57,1
86,1
30,1
13,1
184,1
31,0
50,1
117,0
1,1
0,1
53,1
72,1
109,1
100,0
97,1
1,1
119,1
31,1
48,1
15,1
69,1
56,0
0,1
13,1
26,1
37,1
31,1
0,1
31,1
10,1
18,1
58,0
42,1
35,1
92,0
1,1
6,1
22,1
14,1
3,1
