score,out
35,1
18,1
12,0
11,1
66,1
77,1
35,0
81,1
45,1
19,1
1,0
2,1
4,1
6,0
0,1
31,0
44,1
16,1
65,1
0,1
22,1
1,1
9,1
1,1
10,1
48,1
112,1
0,1
41,1
18,0
0,1
50,1
20,1
3,1
31,1
62,1
72,1
113,1
85,1
0,1
90,1
17,1
340,1
32,1
199,1
53,1
17,1
50,1
37,1
6,1
0,1
5,1
68,1
17,1
0,1
51,1
16,1
10,1
59,1
21,1
13,1
8,1
213,1
24,0
18,1
18,1
0,1
21,0
0,1
49,1
6,1
7,1
4,1
16,0
17,1
56,1
30,1
6,1
24,1
10,1
26,1
8,1
32,1
21,1
188,1
148,1
28,1
0,1
85,1
17,1
0,1
26,1
8,1
0,1
16,1
16,1
14,1
9,1
0,1
45,1
23,1
111,1
6,0
3,1
6,1
30,1
89,1
25,1
6,0
16,1
55,1
85,1
8,0
92,1
139,1
28,1
36,1
88,1
1,1
18,1
8,1
12,1
35,1
26,1
145,1
85,1
32,1
0,1
50,1
82,1
9,1
8,1
72,0
26,1
13,1
48,1
17,1
32,1
27,1
85,1
35,1
5,1
1,1
131,1
71,1
51,1
157,1
48,1
8,1
16,1
13,1
22,1
12,1
74,1
43,1
19,1
38,1
253,1
26,1
107,1
48,1
5,0
22,1
2,1
3,1
15,1
2,1
36,1
46,1
13,1
6,1
13,1
14,1
4,1
4,1
4,1
47,1
73,1
5,1
10,1
0,1
31,1
7,1
39,1
3,1
45,1
10,1
78,1
