score,out
1,1
7,1
6,1
39,1
0,1
2,1
2,1
61,1
15,1
101,1
16,1
45,1
15,1
15,1
15,1
43,1
22,1
10,1
69,1
3,1
49,1
12,1
0,0
61,1
0,1
132,1
47,1
11,1
40,1
3,1
53,1
57,0
30,1
3,1
11,1
23,0
110,1
88,0
83,1
27,1
7,1
148,0
17,1
4,1
64,1
115,1
12,1
1,1
85,0
0,1
69,1
105,1
25,1
5,1
36,0
95,1
29,1
40,1
16,1
87,1
19,1
0,1
160,1
13,1
12,1
23,1
79,0
21,1
15,1
49,1
7,1
50,1
30,1
53,1
0,1
11,1
20,1
5,1
30,0
17,1
51,1
157,0
42,0
189,0
68,1
21,0
24,1
89,0
5,1
65,0
38,1
99,1
4,1
34,1
3,1
8,1
23,1
73,1
16,1
61,0
75,0
139,0
75,1
84,1
6,1
105,1
31,1
27,1
13,1
6,1
41,1
66,1
35,1
29,1
18,1
10,1
43,1
158,1
44,1
177,1
73,1
130,0
130,0
92,1
150,0
40,1
71,1
0,1
1,1
59,1
52,0
13,1
3,1
37,1
28,0
121,1
55,1
0,1
61,1
162,1
10,1
149,1
66,1
33,1
0,1
8,1
136,0
54,1
58,1
0,1
109,0
39,1
19,0
78,1
147,1
44,1
39,0
23,1
9,1
111,1
50,0
6,1
36,1
114,1
7,1
37,1
27,1
38,1
62,1
71,1
9,1
13,1
12,1
27,1
54,1
32,1
18,1
60,0
24,1
91,1
28,1
51,1
155,1
100,0
59,1
107,0
29,1
186,1
131,1
0,1
85,1
36,1
22,0
74,1
17,1
7,1
39,0
13,1
19,1
132,1
1,1
15,1
7,1
13,1
4,1
64,1
5,1
2,1
9,1
16,1
24,1
63,1
57,1
26,1
37,1
4,1
27,1
45,1
22,1
93,1
102,1
120,1
4,1
75,1
3,1
108,1
46,1
7,1
173,1
10,1
20,1
28,1
40,1
110,1
62,0
43,1
0,0
73,1
135,0
105,1
10,1
201,0
10,1
17,1
161,1
109,0
0,1
2,0
54,1
2,1
31,1
0,1
0,1
224,1
0,1
113,1
6,1
182,0
19,1
27,1
3,1
31,1
147,1
49,1
58,1
46,1
2,1
37,1
60,1
8,1
50,1
7,1
2,1
21,1
5,1
0,1
7,1
0,1
34,1
115,1
