score,out
8,1
15,1
43,1
59,1
34,1
42,1
12,1
61,1
0,1
26,0
126,0
62,1
1,1
21,1
4,1
3,1
16,1
0,1
83,1
38,0
5,1
10,1
29,1
30,1
17,1
38,1
15,1
21,1
69,1
3,1
2,1
84,1
16,1
30,1
0,1
45,0
22,1
19,1
2,1
7,1
5,1
0,1
0,1
9,1
0,1
4,1
14,1
38,1
46,1
59,1
16,1
22,1
6,0
15,0
116,1
41,1
89,1
65,1
97,1
31,1
30,1
9,1
73,1
1,1
41,1
16,1
3,1
2,1
33,1
5,1
12,1
13,1
100,0
0,1
26,1
98,1
0,0
0,1
4,1
32,1
10,1
27,1
3,1
18,1
0,1
31,1
1,1
8,1
1,1
69,1
0,1
26,1
3,1
33,0
16,1
42,1
60,1
7,1
53,1
49,1
42,1
36,1
6,1
6,1
78,1
0,1
2,1
38,1
55,1
42,1
1,1
23,0
0,1
31,1
26,1
119,1
1,1
163,1
11,0
60,1
5,1
66,1
50,1
50,0
9,1
2,1
7,1
44,1
47,1
5,1
4,1
109,1
5,1
24,1
7,1
36,1
40,1
34,1
1,1
16,1
4,1
23,1
13,1
55,1
0,1
49,1
1,1
27,1
27,1
4,1
25,1
4,1
22,1
77,0
7,1
0,1
26,1
110,1
4,1
44,1
25,1
19,1
12,1
0,1
56,1
5,1
4,1
0,1
60,1
2,1
25,1
12,1
129,1
34,1
13,1
66,0
22,1
16,1
35,1
27,1
42,1
53,0
4,1
18,1
