score,out
82,1
78,0
5,1
38,1
24,1
118,1
2,1
34,0
7,1
20,1
113,0
43,1
31,1
1,1
7,1
129,1
50,1
13,1
10,1
42,1
53,1
11,1
3,1
14,1
44,1
1,1
3,1
32,1
13,1
18,1
70,1
27,1
23,1
15,1
57,1
7,1
15,1
60,1
9,1
19,1
43,1
6,1
64,1
43,1
18,1
5,1
20,1
15,1
178,1
3,1
59,1
22,0
132,1
14,1
15,1
94,1
63,1
18,1
0,1
49,1
8,1
7,0
52,1
13,1
30,1
163,1
71,1
19,1
28,1
39,1
7,1
242,0
37,1
8,1
83,1
73,1
7,1
0,1
149,1
2,1
102,1
51,1
19,1
6,1
5,1
37,1
91,0
102,1
7,1
70,1
68,1
36,1
0,1
16,1
21,1
50,1
33,1
2,1
43,1
18,1
29,1
84,1
157,1
11,1
22,1
23,0
14,1
22,1
17,1
22,1
48,1
86,1
42,1
40,1
121,1
40,1
24,1
5,1
14,1
7,1
11,1
42,1
9,1
3,1
56,1
101,1
22,1
20,1
37,1
1,1
9,1
17,0
64,1
100,1
66,1
58,1
95,1
29,1
19,1
40,1
57,1
53,1
77,0
24,1
3,1
143,1
81,1
50,1
106,1
23,1
103,1
68,1
33,1
67,1
9,0
161,0
32,1
36,1
76,1
38,1
20,1
71,1
39,1
48,1
1,1
60,0
36,1
0,1
114,1
78,1
6,1
19,1
34,0
33,1
72,1
