score,out
138,1
23,1
26,1
39,1
71,1
31,1
64,1
20,0
3,1
139,0
0,1
11,1
34,1
5,1
18,1
15,1
0,1
5,1
56,1
0,1
0,1
0,1
0,1
39,1
60,1
112,1
16,1
57,1
0,1
26,1
9,1
21,1
13,1
12,1
6,1
64,1
99,1
70,1
1,1
52,1
137,1
62,0
10,1
49,1
36,1
111,1
68,1
84,1
7,1
11,1
2,1
12,1
42,1
28,1
7,1
43,1
113,0
20,1
61,1
68,1
71,1
140,1
15,1
71,1
29,1
3,1
25,1
39,1
24,1
88,1
1,1
40,1
4,1
61,1
2,1
7,1
126,1
59,1
88,1
3,1
116,1
34,1
111,1
61,1
71,1
12,1
26,1
23,1
38,1
57,1
19,1
67,1
0,1
19,1
82,1
79,1
9,1
26,1
20,1
116,1
5,1
42,1
5,1
1,1
33,1
12,1
55,1
8,1
68,1
7,1
19,1
1,1
3,1
17,1
86,1
81,1
9,1
0,1
1,1
100,1
63,1
115,0
66,1
18,1
10,1
0,1
153,0
33,0
0,1
42,1
43,1
26,1
117,1
31,1
27,0
36,1
17,0
7,1
51,0
36,1
43,1
121,1
24,1
2,1
33,1
67,1
21,1
0,1
3,1
11,1
65,1
6,1
0,1
10,1
13,1
90,1
100,1
5,1
0,1
0,1
5,1
8,1
41,1
51,0
32,1
72,0
25,1
3,1
44,0
28,1
18,1
24,1
119,1
63,1
5,1
25,1
78,0
22,1
3,1
0,1
22,1
0,1
70,1
57,1
49,1
108,1
0,0
15,1
42,0
72,1
24,0
120,1
0,1
12,1
42,1
86,1
2,1
74,1
34,1
19,1
53,1
25,1
16,1
45,1
30,1
55,1
0,1
2,1
23,1
