score,out
57,1
19,0
13,1
55,1
3,1
5,1
96,1
54,1
20,1
21,1
4,1
143,1
17,0
10,1
8,1
10,1
36,1
29,1
24,1
3,1
25,1
0,1
99,1
7,1
0,1
111,1
24,1
19,1
74,1
23,1
31,1
33,1
5,1
0,1
5,1
0,1
14,0
43,1
17,1
9,1
26,1
13,1
21,1
7,1
40,1
51,1
0,1
25,1
85,1
9,1
42,1
97,1
24,1
11,1
0,1
9,1
71,1
25,1
2,1
66,1
8,1
3,1
30,1
84,0
25,1
31,1
19,1
3,1
84,1
115,1
24,1
6,1
1,1
29,1
18,1
13,1
78,1
0,1
0,1
24,1
89,1
185,1
19,0
24,1
104,1
5,1
51,1
65,1
11,0
4,1
225,1
40,1
25,1
56,1
35,1
2,1
64,1
14,1
11,1
34,1
1,1
16,1
12,1
83,1
48,1
58,0
61,1
5,1
31,1
0,1
25,1
84,1
0,1
19,1
22,1
42,1
0,1
23,1
68,1
13,1
4,1
35,1
7,1
51,1
13,1
11,1
74,1
69,1
38,1
67,0
2,1
8,1
20,1
1,1
21,1
22,1
11,1
113,1
9,1
37,1
12,1
224,1
1,1
8,1
302,1
7,1
17,1
4,1
3,1
31,1
25,1
18,1
39,1
43,1
45,1
202,1
195,1
0,1
22,1
42,1
0,1
41,1
55,1
6,1
80,1
27,1
4,1
20,1
75,1
17,0
18,1
18,1
0,1
10,1
145,1
25,1
