score,out
163,1
25,0
25,1
206,1
85,1
15,1
54,1
5,1
10,1
64,1
2,1
1,1
71,1
19,0
88,0
61,0
23,1
15,1
39,1
0,1
22,1
1,1
154,0
6,0
35,1
100,1
62,0
81,1
160,0
26,1
30,1
0,0
19,1
16,1
129,0
19,1
76,1
30,0
34,1
0,1
16,1
64,1
8,1
45,1
52,1
50,1
46,1
40,1
21,1
106,0
14,1
6,1
30,1
50,1
22,1
60,1
5,1
57,1
6,1
79,1
20,1
38,1
62,1
4,1
92,1
18,1
36,1
26,1
30,1
10,1
6,1
26,0
54,1
52,1
32,1
6,1
138,1
17,1
39,1
126,1
280,0
85,1
47,1
99,1
66,1
60,1
0,1
46,1
6,1
5,1
131,1
27,1
11,1
16,1
60,1
34,1
16,1
11,1
48,0
104,1
103,0
13,1
58,1
30,1
26,1
1,1
79,1
2,1
203,0
40,1
63,1
4,1
0,1
36,1
23,1
1,1
30,1
46,1
19,1
76,1
4,1
94,1
54,1
17,1
63,0
50,1
7,1
17,1
21,1
0,1
75,1
4,1
260,1
65,1
19,1
4,1
114,1
18,1
102,1
14,1
34,1
211,1
43,1
107,1
27,1
24,1
118,1
271,1
78,1
36,1
13,1
145,1
7,1
3,1
65,1
52,1
21,1
49,1
27,1
43,1
25,1
55,1
7,1
7,1
9,1
1,1
20,0
14,1
2,1
153,0
9,1
0,1
88,1
45,0
6,1
4,1
59,1
92,1
12,1
20,1
4,1
22,1
43,1
31,1
70,1
12,1
20,1
10,1
31,1
