score,out
57,1
64,0
71,1
20,1
21,1
0,1
45,1
23,1
14,1
158,1
5,1
19,1
100,1
42,1
34,1
1,1
15,1
87,1
64,1
4,1
39,1
7,1
158,1
142,1
13,1
41,1
6,1
21,1
41,1
38,1
135,1
16,1
0,1
96,1
16,1
92,1
158,1
2,1
70,1
60,0
21,1
1,1
41,1
29,1
26,1
109,1
226,1
9,1
68,1
0,1
28,1
37,1
134,1
13,1
19,1
41,1
101,1
31,1
18,1
1,1
45,0
1,1
30,1
42,1
6,1
31,1
17,1
129,1
34,1
3,1
26,1
42,1
115,1
152,1
45,1
13,1
4,1
94,1
100,1
13,1
4,1
1,1
144,1
97,1
1,1
51,1
32,1
41,1
72,0
10,1
102,1
0,1
49,1
69,1
8,1
32,1
44,1
40,1
81,1
31,1
0,1
6,1
7,1
12,1
99,1
32,1
45,1
74,0
18,1
10,0
64,1
9,1
22,1
80,1
6,1
23,1
0,1
43,1
227,1
0,1
3,1
51,1
36,1
3,1
2,1
72,1
85,1
202,0
1,1
29,1
63,1
63,1
175,1
2,1
0,1
14,1
1,1
32,1
18,1
3,1
30,1
151,1
42,0
32,1
13,1
80,1
78,1
42,1
16,1
149,1
12,1
17,1
2,1
186,1
54,1
0,1
73,1
6,1
0,1
12,1
73,1
14,1
64,1
2,1
5,1
113,1
8,1
26,1
44,1
50,1
62,1
18,1
26,1
4,1
53,1
19,1
45,1
71,1
49,1
3,1
6,1
