score,out
96,1
71,1
6,1
20,1
14,1
13,1
88,1
9,1
9,1
4,1
127,1
9,1
45,1
40,1
20,1
26,1
73,0
16,1
4,1
105,1
32,1
62,1
26,1
23,1
18,1
2,1
60,1
9,1
16,1
76,0
43,1
21,1
11,1
5,1
10,1
104,1
22,1
21,1
21,0
96,1
51,1
1,1
105,0
31,1
0,1
0,1
0,1
197,1
125,1
21,1
67,1
21,0
141,0
20,1
5,1
92,1
11,1
23,1
26,0
51,1
14,0
0,1
6,1
0,1
0,1
11,1
11,1
14,1
4,1
14,1
17,1
144,1
72,1
62,1
5,1
32,0
157,0
31,1
26,1
54,1
25,1
22,1
0,0
14,1
39,1
47,1
100,0
89,1
34,1
141,1
7,1
44,1
150,1
123,1
3,1
154,1
68,1
21,1
30,1
7,1
11,1
117,1
42,0
206,1
45,1
113,1
10,1
59,1
37,1
169,1
53,0
54,1
50,1
242,1
0,1
257,1
31,0
25,1
47,1
21,1
28,1
10,1
27,1
92,1
20,1
22,1
45,1
11,1
12,1
51,1
68,1
26,0
25,1
98,1
7,1
62,0
207,1
4,0
46,1
47,0
9,1
105,1
86,0
9,1
42,1
61,1
0,1
7,1
156,1
1,1
48,1
35,1
46,1
54,1
149,1
104,0
17,1
0,0
56,1
3,1
71,1
53,1
117,1
11,1
120,1
143,0
74,1
1,1
103,1
116,1
34,1
20,1
21,1
118,1
52,1
196,1
60,0
142,1
49,1
2,1
75,1
7,1
45,1
56,1
31,1
53,0
4,1
3,1
55,1
1,1
20,1
45,1
140,1
158,1
5,1
65,1
38,1
18,1
39,1
123,1
17,1
5,1
2,1
87,1
24,1
8,1
4,1
17,1
79,1
0,1
32,1
101,1
99,1
0,1
53,1
83,1
25,1
9,1
81,1
0,1
12,1
150,1
2,1
38,1
38,1
5,1
78,1
8,1
66,1
55,1
36,1
20,1
23,0
2,1
57,1
12,1
0,1
11,1
209,1
89,1
41,1
22,1
6,1
26,1
0,1
6,1
66,1
71,1
4,1
77,1
72,1
10,1
51,0
0,1
9,1
12,1
1,1
10,1
20,1
44,1
4,1
48,1
28,1
8,1
0,1
0,1
62,1
78,1
5,1
16,1
62,1
60,1
134,1
7,1
221,1
60,0
4,1
14,1
7,1
41,1
23,1
57,1
0,1
4,1
16,1
4,1
8,1
