score,out
15,1
59,1
8,1
41,1
35,1
57,1
0,1
24,1
88,1
5,1
10,1
27,1
68,1
119,0
21,1
11,1
16,1
7,1
15,1
40,1
148,0
6,1
17,1
114,1
5,1
0,1
11,1
111,1
1,1
6,1
0,1
73,1
50,1
9,0
165,1
78,1
62,1
28,1
104,0
71,1
142,1
96,1
6,1
43,1
11,0
34,1
85,1
179,1
54,1
40,1
10,1
4,1
0,0
52,0
2,1
24,1
122,1
31,1
177,1
74,1
10,1
0,1
42,1
7,1
18,1
2,1
61,1
36,1
15,1
4,1
169,1
9,1
35,1
9,1
7,1
15,0
88,1
92,1
4,1
83,1
143,1
139,1
8,1
23,1
15,1
148,1
13,1
4,1
155,0
79,1
177,1
31,1
34,1
7,1
47,1
113,1
67,1
0,1
136,1
6,1
29,1
0,1
9,1
53,1
124,0
18,1
126,0
15,1
44,0
217,1
15,1
61,1
0,1
116,1
52,1
45,1
4,1
97,1
8,1
21,1
20,1
18,1
122,1
39,1
201,0
76,1
65,1
10,1
10,1
126,1
17,1
74,1
36,0
20,1
69,1
155,1
15,1
1,1
22,0
88,1
103,1
26,1
90,1
176,1
36,1
42,1
79,1
117,1
0,1
0,1
8,1
0,1
41,1
86,1
16,1
12,1
34,1
92,1
193,1
54,1
35,1
43,1
16,0
36,1
176,1
8,1
51,1
9,1
32,1
8,1
7,1
55,1
1,1
0,1
1,1
37,1
0,1
44,1
241,0
60,0
194,0
2,1
8,1
1,1
8,1
2,1
5,1
55,1
3,1
20,1
32,0
248,0
36,1
94,1
52,1
52,1
41,1
16,1
22,1
109,1
16,1
23,1
19,1
14,1
23,1
26,1
16,1
28,0
4,1
1,1
34,1
44,1
14,1
63,1
0,1
64,1
14,1
101,1
31,1
122,0
37,1
16,1
91,1
1,1
82,1
1,1
1,1
56,0
82,1
62,1
15,1
154,0
12,1
71,1
13,1
153,1
13,1
0,1
27,1
12,1
5,1
31,1
6,1
14,1
13,1
49,1
88,1
10,0
68,1
47,1
109,1
12,1
37,1
103,0
11,1
5,1
160,1
49,1
64,1
62,1
9,1
4,1
100,0
40,1
53,1
105,0
16,1
143,1
7,1
100,1
106,1
8,1
84,1
203,1
41,1
54,1
98,1
38,1
214,1
53,0
40,1
12,1
13,1
61,1
36,1
111,0
13,1
6,1
146,1
14,0
34,1
12,1
16,1
56,1
1,1
40,1
23,1
91,1
7,1
76,1
38,1
94,1
3,1
73,1
32,1
41,1
80,1
15,1
8,1
25,1
13,1
19,1
17,1
27,1
13,1
8,1
8,1
76,1
5,1
2,1
81,1
13,0
7,1
37,1
21,1
32,1
1,1
10,1
74,1
