score,out
23,1
24,1
5,1
25,1
6,1
74,1
17,1
32,1
11,1
3,1
98,1
58,1
17,1
95,1
45,1
0,1
105,0
31,1
13,1
47,1
54,1
140,1
15,1
45,1
55,1
128,1
42,1
29,1
56,1
230,1
14,0
10,1
6,0
16,1
1,1
40,1
32,1
75,1
26,1
7,1
35,1
89,1
67,1
10,1
27,0
56,1
75,1
12,1
71,1
19,1
34,1
10,1
31,1
22,1
7,1
5,1
29,1
22,1
27,1
11,1
270,1
2,1
0,1
74,1
66,1
58,1
13,1
232,1
64,1
2,1
59,1
13,1
138,1
5,1
16,1
45,1
34,1
0,1
6,1
157,0
30,1
5,1
30,1
3,1
33,1
41,1
17,1
69,1
46,1
0,1
8,1
185,1
79,1
16,1
21,1
65,1
25,1
18,1
36,1
66,1
287,1
14,1
39,1
4,1
100,0
156,0
8,1
6,1
200,0
222,0
57,1
192,1
92,1
152,1
1,1
46,1
50,1
21,1
10,1
14,1
12,1
68,1
1,1
144,1
4,1
43,1
67,1
5,1
54,1
70,1
65,1
104,1
9,1
14,1
87,1
46,1
45,1
130,0
8,1
46,1
50,1
109,1
31,1
44,1
11,1
18,1
137,1
103,1
219,1
42,0
75,1
28,1
73,1
4,1
150,1
1,0
11,1
14,1
26,1
12,1
2,1
119,1
10,1
17,1
48,1
69,1
79,1
2,1
211,1
78,1
30,1
144,1
51,1
1,1
2,1
0,1
108,1
35,1
34,1
0,1
14,1
0,1
21,1
199,0
1,1
192,1
24,0
0,1
74,0
5,1
0,1
16,1
4,1
63,1
58,1
27,0
142,1
105,1
139,1
55,1
16,1
55,1
26,1
9,0
52,1
8,1
75,1
319,1
105,1
147,1
61,1
79,1
55,1
24,1
76,1
0,1
72,1
221,1
21,1
22,1
59,1
6,1
1,1
203,1
5,1
50,1
18,1
34,1
0,1
5,1
40,1
32,1
18,1
