score,out
105,1
31,1
13,1
20,1
66,1
74,1
84,1
27,1
106,1
0,1
8,1
12,1
147,1
61,1
33,1
35,1
10,1
2,1
12,1
1,1
25,1
29,1
17,1
130,1
1,1
45,1
0,1
47,1
47,1
195,1
11,1
72,1
47,1
309,1
39,1
90,1
0,1
39,1
0,1
155,1
12,0
22,1
58,1
8,1
5,1
164,1
88,1
10,1
13,1
10,1
173,1
36,1
81,1
15,1
201,1
38,1
44,1
44,1
14,0
76,1
7,1
36,1
20,1
0,1
254,1
31,1
5,1
4,1
2,1
0,1
11,1
76,0
6,1
0,1
36,1
41,1
180,1
31,1
65,1
0,1
4,1
4,1
33,1
0,1
8,1
40,1
4,1
29,1
43,1
63,1
151,1
319,1
6,1
17,1
8,1
22,1
25,1
13,1
201,0
50,1
21,1
34,1
45,1
6,1
35,1
90,1
1,1
16,1
66,1
92,1
9,1
83,1
0,1
17,1
24,1
34,1
22,1
48,1
12,1
16,1
51,1
131,1
293,1
52,1
45,1
56,1
0,0
109,1
16,1
165,1
109,1
31,1
99,1
109,1
0,1
59,1
17,1
30,1
7,1
173,1
1,1
96,1
54,0
74,1
0,1
63,1
25,1
32,1
13,1
11,1
0,1
0,1
8,1
33,1
55,1
55,1
38,1
37,1
60,1
67,1
7,1
30,1
4,1
0,1
10,1
18,1
62,1
47,1
43,1
38,1
117,1
25,1
30,1
9,1
23,1
49,1
0,1
2,1
19,1
6,1
