score,out
3,1
68,1
1,1
42,1
200,1
24,1
73,1
15,1
0,1
16,1
13,0
151,1
16,1
15,1
277,1
85,1
259,1
35,1
5,1
2,1
14,1
18,1
19,1
33,1
12,1
2,1
65,1
132,1
44,1
14,1
42,1
24,1
139,1
23,0
25,1
5,1
88,1
0,1
47,1
125,0
23,1
74,1
65,1
17,1
37,1
47,1
0,1
71,1
0,1
55,1
9,1
5,1
74,1
2,1
29,1
67,0
25,1
3,1
121,1
41,1
2,1
34,1
148,1
41,1
104,1
126,1
50,0
12,1
0,1
34,1
30,1
22,1
25,1
39,1
5,1
19,1
16,1
0,1
40,1
45,1
7,1
25,1
63,1
68,1
5,1
10,1
5,1
58,1
94,1
55,1
0,1
32,1
28,1
10,1
64,1
33,1
42,1
25,1
46,1
133,1
1,1
9,1
2,1
28,1
11,1
28,1
85,1
147,1
10,1
62,1
232,1
73,1
35,1
34,1
69,1
35,1
8,1
107,1
44,1
3,0
7,1
154,0
46,1
0,1
157,1
27,1
48,1
108,1
62,1
75,1
30,0
3,1
0,1
69,1
2,0
0,1
12,1
75,1
22,1
30,1
183,1
105,1
6,1
4,1
20,1
23,1
90,1
132,1
46,1
70,1
10,1
100,1
34,1
10,1
62,1
9,1
37,1
6,1
29,1
37,1
101,0
11,1
36,1
61,1
15,1
26,1
16,1
0,0
53,1
115,1
13,1
55,0
5,1
41,1
131,1
52,1
52,1
14,1
23,1
10,1
23,1
122,1
0,1
16,1
84,1
1,1
54,1
24,1
52,1
19,1
29,1
5,1
15,1
32,1
234,1
68,1
44,1
47,1
27,0
10,1
4,1
9,1
14,1
5,1
3,1
