score,out
13,1
5,1
8,1
0,1
11,1
74,1
1,1
1,1
0,1
12,0
2,0
39,0
6,1
0,1
28,1
71,1
79,0
10,1
49,1
0,1
73,1
21,1
61,1
55,1
10,1
27,1
20,1
0,1
13,1
1,1
19,1
59,1
4,1
90,1
91,1
26,1
42,1
3,1
55,0
12,1
8,1
177,0
152,0
21,0
43,1
92,1
0,1
14,1
7,0
17,1
60,1
57,1
16,1
134,0
20,1
3,1
17,1
4,1
25,1
25,1
1,1
19,1
48,1
14,1
26,1
2,1
4,0
10,1
20,1
38,1
1,1
100,1
42,1
4,1
13,1
0,1
62,1
75,1
41,1
0,1
3,1
78,0
13,0
13,1
47,0
157,0
59,1
20,1
26,1
44,1
25,0
147,0
164,1
1,1
45,0
0,1
86,1
64,1
73,1
0,1
98,1
19,1
7,1
94,0
26,0
1,1
0,1
19,1
0,1
99,0
80,1
65,1
15,1
65,0
63,0
21,1
200,1
112,0
7,1
29,1
38,1
14,1
131,0
170,1
61,0
0,1
67,0
66,1
58,1
37,1
26,1
1,1
0,1
160,1
8,1
18,1
67,1
60,0
12,1
33,1
0,1
108,1
116,1
4,1
75,1
14,1
22,1
6,1
2,1
23,1
96,1
7,1
2,0
96,1
17,1
85,1
6,1
34,1
12,1
27,1
80,1
33,1
157,1
1,1
49,0
0,1
28,1
112,1
16,0
33,1
15,0
59,1
7,1
122,0
30,0
96,1
8,1
14,1
0,1
100,1
9,1
199,1
11,1
72,0
4,1
19,1
19,1
14,1
151,0
1,1
24,1
28,1
5,1
150,1
5,1
32,1
32,1
57,1
17,1
10,1
151,0
15,1
3,1
18,0
41,1
26,1
121,0
20,1
103,1
38,1
15,1
110,1
24,1
47,1
47,1
105,1
45,1
13,1
1,0
157,0
3,1
0,1
8,1
67,1
8,1
13,1
90,1
30,1
32,1
0,1
14,1
7,1
42,1
31,1
0,1
0,1
103,0
7,1
12,1
34,1
53,1
77,1
14,1
102,1
6,1
25,1
115,1
41,1
45,0
100,0
156,0
78,1
61,1
0,1
56,0
30,1
42,1
19,1
40,1
80,1
