score,out
12,1
107,1
8,1
6,1
7,1
61,1
2,1
0,1
23,1
4,1
2,1
23,1
32,0
116,1
91,1
149,0
0,1
36,1
4,1
58,1
1,1
65,1
17,1
0,1
119,1
53,1
32,1
153,1
71,1
46,1
19,1
27,1
58,1
51,1
5,1
0,1
5,1
4,1
40,1
8,1
52,1
1,1
30,1
46,1
2,1
34,1
0,1
124,1
14,1
42,1
17,1
87,1
23,1
46,1
44,1
9,1
1,1
147,1
0,1
267,1
84,0
31,1
0,1
106,1
43,1
39,1
48,1
7,1
27,1
199,1
83,1
194,1
0,1
77,1
0,1
8,1
35,1
73,0
44,1
62,1
173,1
41,1
9,1
11,1
0,0
56,1
56,1
20,1
38,1
68,1
38,1
45,1
67,0
8,1
0,1
6,1
126,1
3,1
130,1
7,1
23,1
43,1
107,0
80,1
0,1
313,1
25,1
3,1
0,1
82,1
2,1
19,1
35,1
131,0
14,1
0,1
23,1
73,1
81,1
88,1
14,0
33,1
55,1
122,1
11,1
200,0
49,1
16,0
37,1
24,1
1,1
4,1
127,1
29,1
87,1
32,1
0,1
19,1
0,1
15,1
111,1
14,1
33,1
11,1
3,1
200,0
77,1
29,1
1,1
9,0
10,1
36,1
136,1
13,0
13,1
77,1
17,1
29,1
177,1
13,1
13,1
8,1
106,1
103,0
213,1
46,1
100,0
28,1
72,1
44,1
5,1
0,1
33,1
148,1
39,1
47,1
6,1
40,1
3,1
171,0
38,1
45,1
56,1
118,1
31,1
14,1
33,1
25,1
1,1
28,1
31,1
4,1
218,1
127,1
29,0
51,1
0,1
2,1
1,1
2,1
11,1
0,1
65,1
21,1
24,1
175,0
13,1
58,1
6,1
0,1
5,1
18,1
35,1
